# How dis2000 renders every value of the 8-bit loc16 and loc32 addressing
# fields. Captured by disassembling `ADD ACC, loc16` (0x8100 | field) and
# `MOVL ACC, loc32` (0x0600 | field) for all 256 values of each.
#
# Regenerate: nix develop -c python3 scripts/probe_addressing.py
#
# field	loc16	loc32
0x00	@0x0	@0x0
0x01	@0x1	@0x1
0x02	@0x2	@0x2
0x03	@0x3	@0x3
0x04	@0x4	@0x4
0x05	@0x5	@0x5
0x06	@0x6	@0x6
0x07	@0x7	@0x7
0x08	@0x8	@0x8
0x09	@0x9	@0x9
0x0A	@0xa	@0xa
0x0B	@0xb	@0xb
0x0C	@0xc	@0xc
0x0D	@0xd	@0xd
0x0E	@0xe	@0xe
0x0F	@0xf	@0xf
0x10	@0x10	@0x10
0x11	@0x11	@0x11
0x12	@0x12	@0x12
0x13	@0x13	@0x13
0x14	@0x14	@0x14
0x15	@0x15	@0x15
0x16	@0x16	@0x16
0x17	@0x17	@0x17
0x18	@0x18	@0x18
0x19	@0x19	@0x19
0x1A	@0x1a	@0x1a
0x1B	@0x1b	@0x1b
0x1C	@0x1c	@0x1c
0x1D	@0x1d	@0x1d
0x1E	@0x1e	@0x1e
0x1F	@0x1f	@0x1f
0x20	@0x20	@0x20
0x21	@0x21	@0x21
0x22	@0x22	@0x22
0x23	@0x23	@0x23
0x24	@0x24	@0x24
0x25	@0x25	@0x25
0x26	@0x26	@0x26
0x27	@0x27	@0x27
0x28	@0x28	@0x28
0x29	@0x29	@0x29
0x2A	@0x2a	@0x2a
0x2B	@0x2b	@0x2b
0x2C	@0x2c	@0x2c
0x2D	@0x2d	@0x2d
0x2E	@0x2e	@0x2e
0x2F	@0x2f	@0x2f
0x30	@0x30	@0x30
0x31	@0x31	@0x31
0x32	@0x32	@0x32
0x33	@0x33	@0x33
0x34	@0x34	@0x34
0x35	@0x35	@0x35
0x36	@0x36	@0x36
0x37	@0x37	@0x37
0x38	@0x38	@0x38
0x39	@0x39	@0x39
0x3A	@0x3a	@0x3a
0x3B	@0x3b	@0x3b
0x3C	@0x3c	@0x3c
0x3D	@0x3d	@0x3d
0x3E	@0x3e	@0x3e
0x3F	@0x3f	@0x3f
0x40	*-SP[0]	*-SP[0]
0x41	*-SP[1]	*-SP[1]
0x42	*-SP[2]	*-SP[2]
0x43	*-SP[3]	*-SP[3]
0x44	*-SP[4]	*-SP[4]
0x45	*-SP[5]	*-SP[5]
0x46	*-SP[6]	*-SP[6]
0x47	*-SP[7]	*-SP[7]
0x48	*-SP[8]	*-SP[8]
0x49	*-SP[9]	*-SP[9]
0x4A	*-SP[10]	*-SP[10]
0x4B	*-SP[11]	*-SP[11]
0x4C	*-SP[12]	*-SP[12]
0x4D	*-SP[13]	*-SP[13]
0x4E	*-SP[14]	*-SP[14]
0x4F	*-SP[15]	*-SP[15]
0x50	*-SP[16]	*-SP[16]
0x51	*-SP[17]	*-SP[17]
0x52	*-SP[18]	*-SP[18]
0x53	*-SP[19]	*-SP[19]
0x54	*-SP[20]	*-SP[20]
0x55	*-SP[21]	*-SP[21]
0x56	*-SP[22]	*-SP[22]
0x57	*-SP[23]	*-SP[23]
0x58	*-SP[24]	*-SP[24]
0x59	*-SP[25]	*-SP[25]
0x5A	*-SP[26]	*-SP[26]
0x5B	*-SP[27]	*-SP[27]
0x5C	*-SP[28]	*-SP[28]
0x5D	*-SP[29]	*-SP[29]
0x5E	*-SP[30]	*-SP[30]
0x5F	*-SP[31]	*-SP[31]
0x60	*-SP[32]	*-SP[32]
0x61	*-SP[33]	*-SP[33]
0x62	*-SP[34]	*-SP[34]
0x63	*-SP[35]	*-SP[35]
0x64	*-SP[36]	*-SP[36]
0x65	*-SP[37]	*-SP[37]
0x66	*-SP[38]	*-SP[38]
0x67	*-SP[39]	*-SP[39]
0x68	*-SP[40]	*-SP[40]
0x69	*-SP[41]	*-SP[41]
0x6A	*-SP[42]	*-SP[42]
0x6B	*-SP[43]	*-SP[43]
0x6C	*-SP[44]	*-SP[44]
0x6D	*-SP[45]	*-SP[45]
0x6E	*-SP[46]	*-SP[46]
0x6F	*-SP[47]	*-SP[47]
0x70	*-SP[48]	*-SP[48]
0x71	*-SP[49]	*-SP[49]
0x72	*-SP[50]	*-SP[50]
0x73	*-SP[51]	*-SP[51]
0x74	*-SP[52]	*-SP[52]
0x75	*-SP[53]	*-SP[53]
0x76	*-SP[54]	*-SP[54]
0x77	*-SP[55]	*-SP[55]
0x78	*-SP[56]	*-SP[56]
0x79	*-SP[57]	*-SP[57]
0x7A	*-SP[58]	*-SP[58]
0x7B	*-SP[59]	*-SP[59]
0x7C	*-SP[60]	*-SP[60]
0x7D	*-SP[61]	*-SP[61]
0x7E	*-SP[62]	*-SP[62]
0x7F	*-SP[63]	*-SP[63]
0x80	*XAR0++	*XAR0++
0x81	*XAR1++	*XAR1++
0x82	*XAR2++	*XAR2++
0x83	*XAR3++	*XAR3++
0x84	*XAR4++	*XAR4++
0x85	*XAR5++	*XAR5++
0x86	*XAR6++	*XAR6++
0x87	*XAR7++	*XAR7++
0x88	*--XAR0	*--XAR0
0x89	*--XAR1	*--XAR1
0x8A	*--XAR2	*--XAR2
0x8B	*--XAR3	*--XAR3
0x8C	*--XAR4	*--XAR4
0x8D	*--XAR5	*--XAR5
0x8E	*--XAR6	*--XAR6
0x8F	*--XAR7	*--XAR7
0x90	*+XAR0[AR0]	*+XAR0[AR0]
0x91	*+XAR1[AR0]	*+XAR1[AR0]
0x92	*+XAR2[AR0]	*+XAR2[AR0]
0x93	*+XAR3[AR0]	*+XAR3[AR0]
0x94	*+XAR4[AR0]	*+XAR4[AR0]
0x95	*+XAR5[AR0]	*+XAR5[AR0]
0x96	*+XAR6[AR0]	*+XAR6[AR0]
0x97	*+XAR7[AR0]	*+XAR7[AR0]
0x98	*+XAR0[AR1]	*+XAR0[AR1]
0x99	*+XAR1[AR1]	*+XAR1[AR1]
0x9A	*+XAR2[AR1]	*+XAR2[AR1]
0x9B	*+XAR3[AR1]	*+XAR3[AR1]
0x9C	*+XAR4[AR1]	*+XAR4[AR1]
0x9D	*+XAR5[AR1]	*+XAR5[AR1]
0x9E	*+XAR6[AR1]	*+XAR6[AR1]
0x9F	*+XAR7[AR1]	*+XAR7[AR1]
0xA0	AR0	XAR0
0xA1	AR1	XAR1
0xA2	AR2	XAR2
0xA3	AR3	XAR3
0xA4	AR4	XAR4
0xA5	AR5	XAR5
0xA6	AR6	XAR6
0xA7	AR7	XAR7
0xA8	AH	ACC
0xA9	AL	ACC
0xAA	PH	P
0xAB	PL	P
0xAC	T	XT
0xAD	SP	
0xAE	*BR0++	*BR0++
0xAF	*BR0--	*BR0--
0xB0	*ARP0	*ARP0
0xB1	*ARP1	*ARP1
0xB2	*ARP2	*ARP2
0xB3	*ARP3	*ARP3
0xB4	*ARP4	*ARP4
0xB5	*ARP5	*ARP5
0xB6	*ARP6	*ARP6
0xB7	*ARP7	*ARP7
0xB8	*	*
0xB9	*++	*++
0xBA	*--	*--
0xBB	*0++	*0++
0xBC	*0--	*0--
0xBD	*SP++	*SP++
0xBE	*--SP	*--SP
0xBF	*AR6%++	*AR6%++
0xC0	*+XAR0[0]	*+XAR0[0]
0xC1	*+XAR1[0]	*+XAR1[0]
0xC2	*+XAR2[0]	*+XAR2[0]
0xC3	*+XAR3[0]	*+XAR3[0]
0xC4	*+XAR4[0]	*+XAR4[0]
0xC5	*+XAR5[0]	*+XAR5[0]
0xC6	*+XAR6[0]	*+XAR6[0]
0xC7	*+XAR7[0]	*+XAR7[0]
0xC8	*+XAR0[1]	*+XAR0[1]
0xC9	*+XAR1[1]	*+XAR1[1]
0xCA	*+XAR2[1]	*+XAR2[1]
0xCB	*+XAR3[1]	*+XAR3[1]
0xCC	*+XAR4[1]	*+XAR4[1]
0xCD	*+XAR5[1]	*+XAR5[1]
0xCE	*+XAR6[1]	*+XAR6[1]
0xCF	*+XAR7[1]	*+XAR7[1]
0xD0	*+XAR0[2]	*+XAR0[2]
0xD1	*+XAR1[2]	*+XAR1[2]
0xD2	*+XAR2[2]	*+XAR2[2]
0xD3	*+XAR3[2]	*+XAR3[2]
0xD4	*+XAR4[2]	*+XAR4[2]
0xD5	*+XAR5[2]	*+XAR5[2]
0xD6	*+XAR6[2]	*+XAR6[2]
0xD7	*+XAR7[2]	*+XAR7[2]
0xD8	*+XAR0[3]	*+XAR0[3]
0xD9	*+XAR1[3]	*+XAR1[3]
0xDA	*+XAR2[3]	*+XAR2[3]
0xDB	*+XAR3[3]	*+XAR3[3]
0xDC	*+XAR4[3]	*+XAR4[3]
0xDD	*+XAR5[3]	*+XAR5[3]
0xDE	*+XAR6[3]	*+XAR6[3]
0xDF	*+XAR7[3]	*+XAR7[3]
0xE0	*+XAR0[4]	*+XAR0[4]
0xE1	*+XAR1[4]	*+XAR1[4]
0xE2	*+XAR2[4]	*+XAR2[4]
0xE3	*+XAR3[4]	*+XAR3[4]
0xE4	*+XAR4[4]	*+XAR4[4]
0xE5	*+XAR5[4]	*+XAR5[4]
0xE6	*+XAR6[4]	*+XAR6[4]
0xE7	*+XAR7[4]	*+XAR7[4]
0xE8	*+XAR0[5]	*+XAR0[5]
0xE9	*+XAR1[5]	*+XAR1[5]
0xEA	*+XAR2[5]	*+XAR2[5]
0xEB	*+XAR3[5]	*+XAR3[5]
0xEC	*+XAR4[5]	*+XAR4[5]
0xED	*+XAR5[5]	*+XAR5[5]
0xEE	*+XAR6[5]	*+XAR6[5]
0xEF	*+XAR7[5]	*+XAR7[5]
0xF0	*+XAR0[6]	*+XAR0[6]
0xF1	*+XAR1[6]	*+XAR1[6]
0xF2	*+XAR2[6]	*+XAR2[6]
0xF3	*+XAR3[6]	*+XAR3[6]
0xF4	*+XAR4[6]	*+XAR4[6]
0xF5	*+XAR5[6]	*+XAR5[6]
0xF6	*+XAR6[6]	*+XAR6[6]
0xF7	*+XAR7[6]	*+XAR7[6]
0xF8	*+XAR0[7]	*+XAR0[7]
0xF9	*+XAR1[7]	*+XAR1[7]
