# TI's operand text per instruction, and the template derived from it by
# probing each operand independently. `{N}` is our operand N, and
# `{N:@AH|AL}` the registers TI marks with `@` when N is register-direct.
#
# Regenerate: nix develop -c python3 scripts/probe_operands.py
#
# name	mnemonic	template	probed_text
ABORTI	ABORTI		
ABSF32_RAH_RBH	ABSF32	{0}, {1}	R1H, R1H
ABSTC_ACC	ABSTC	ACC	ACC
ABS_ACC	ABS	ACC	ACC
ADDB_ACC_CONST8	ADDB	ACC, {0:d}	ACC, #1
ADDB_AX_CONST8	ADDB	{0}, {1:d}	AL, #1
ADDB_SP_CONST7	ADDB	SP, {0:d}	SP, #1
ADDB_XARN_CONST7	ADDB	{0}, {1:d}	XAR1, #1
ADDCL_ACC_LOC32	ADDCL	ACC, {0}	ACC, @0x1
ADDCU_ACC_LOC16	ADDCU	ACC, {0}	ACC, @0x1
ADDF32_MOV32_LOAD	ADDF32	{0}, {1}, {2}	R1H, R1H, R1H
ADDF32_MOV32_STORE	ADDF32	{0}, {1}, {2}	R1H, R1H, R1H
ADDF32_RAH_16FHI_RBH	ADDF32	{0}, {2}, {1}	R1H, #0x1, R1H
ADDF32_RAH_RBH_RCH	ADDF32	{0}, {1}, {2}	R1H, R1H, R1H
ADDL_ACC_LOC32	ADDL	ACC, {0}	ACC, @0x1
ADDL_LOC32_ACC	ADDL	{0}, ACC	@0x1, ACC
ADDUL_ACC_LOC32	ADDUL	ACC, {0}	ACC, @0x1
ADDUL_P_LOC32	ADDUL	P, {0}	P, @0x1
ADDU_ACC_LOC16	ADDU	ACC, {0}	ACC, @0x1
ADD_ACC_CONST16_SHIFT	ADD	ACC, {0} << {1:b}	ACC, #0x1 << 1
ADD_ACC_LOC16	ADD	ACC, {0}	ACC, @0x1
ADD_ACC_LOC16_SHIFT16	ADD	ACC, {0} << 16	ACC, @0x1 << 16
ADD_ACC_LOC16_SHIFT1_15	ADD	ACC, {0} << {1:b}	ACC, @0x1 << 1
ADD_ACC_LOC16_SHIFT_T	ADD	ACC, {0} << T	ACC, @0x1 << T
ADD_AX_LOC16	ADD	{0}, {1:@AH|AL}	AL, @0x1
ADD_LOC16_AX	ADD	{0}, {1}	@0x1, AL
ADD_LOC16_CONST16	ADD	{0}, {1:d}	@0x1, #1
ADRK_IMM8	ADRK	{0:d}	#1
ANDB_AX_CONST8	ANDB	{0}, {1}	AL, #0x1
AND_ACC_CONST16_SHIFT0_15	AND	ACC, {0} << {1:b}	ACC, #0x1 << 1
AND_ACC_IMM16_SHIFT16	AND	ACC, {0} << 16	ACC, #0x0001 << 16
AND_ACC_LOC16	AND	ACC, {0}	ACC, @0x1
AND_AX_LOC16	AND	{0}, {1:@AH|AL}	AL, @0x1
AND_AX_LOC16_CONST16	AND	{0}, {1}, {2}	AL, @0x1, #0x1
AND_IER_CONST16	AND	IER, {0}	IER, #0x0001
AND_IFR_CONST16	AND	IFR, {0}	IFR, #0x0001
AND_LOC16_AX	AND	{0}, {1}	@0x1, AL
AND_LOC16_CONST16	AND	{0}, {1}	@0x1, #0x0001
ASP	ASP		
ASR64_ACC_P_SHIFT	ASR64	ACC:P, {0:b}	ACC:P, 2
ASR64_ACC_P_T	ASR64	ACC:P, T	ACC:P, T
ASRL_ACC_T	ASRL	ACC, T	ACC, T
ASR_AX_SHIFT	ASR	{0}, {1:b}	AL, 2
ASR_AX_T	ASR	{0}, T	AL, T
B	B	{0:b}, {1}	1, EQ
BANZ	BANZ	{0}	1,AR1--
BAR_OFF16_ARN_ARM_EQ	BAR	{0:b}, {2}, {1}, EQ	1, AR1, AR1, EQ
BAR_OFF16_ARN_ARM_NEQ	BAR	{0:b}, {2}, {1}, NEQ	1, AR1, AR1, NEQ
BF	BF	{0:b}, {1}	1, EQ
CLRC_AMODE	CLRC	AMODE	AMODE
CLRC_M0M1MAP	CLRC	M0M1MAP	M0M1MAP
CLRC_MODE	CLRC	{0}	SXM
CLRC_OBJMODE	CLRC	OBJMODE	OBJMODE
CLRC_OVC	CLRC	OVC	OVC
CLRC_XF	CLRC	XF	XF
CMP64_ACC_P	CMP64	ACC:P	ACC:P
CMPB_AX_CONST8	CMPB	{0}, {1}	AL, #0x1
CMPF32_RAH_0	CMPF32	{0}, #0.0	R1H, #0.0
CMPF32_RAH_16FHI	CMPF32	{0}, {1}	R1H, #0x1
CMPF32_RAH_RBH	CMPF32	{0}, {1}	R1H, R1H
CMPL_ACC_LOC32	CMPL	ACC, {0}	ACC, @0x1
CMPL_ACC_P_SHIFT_PM	CMPL	ACC, P << PM	ACC, P << PM
CMPR_0	CMPR	0	0
CMPR_1	CMPR	1	1
CMPR_2	CMPR	2	2
CMPR_3	CMPR	3	3
CMP_AX_LOC16	CMP	{0}, {1:@AH|AL}	AL, @0x1
CMP_LOC16_CONST16	CMP	{0}, {1:d}	@0x1, #1
CSB_ACC	CSB	ACC	ACC
DEC_LOC16	DEC	{0}	@0x1
DMOV_LOC16	DMOV	{0}	@0x1
EALLOW	EALLOW		
EDIS	EDIS		
EINVF32_RAH_RBH	EINVF32	{0}, {1}	R1H, R1H
EISQRTF32_RAH_RBH	EISQRTF32	{0}, {1}	R1H, R1H
ESTOP0	ESTOP0		
ESTOP1	ESTOP1		
F32TOI16R_RAH_RBH	F32TOI16R	{0}, {1}	R1H, R1H
F32TOI16_RAH_RBH	F32TOI16	{0}, {1}	R1H, R1H
F32TOI32_RAH_RBH	F32TOI32	{0}, {1}	R1H, R1H
F32TOUI16R_RAH_RBH	F32TOUI16R	{0}, {1}	R1H, R1H
F32TOUI16_RAH_RBH	F32TOUI16	{0}, {1}	R1H, R1H
F32TOUI32_RAH_RBH	F32TOUI32	{0}, {1}	R1H, R1H
FFC	FFC	XAR7, {0}	XAR7, 0x000001
FLIP_AX	FLIP	{0}	AL
FRACF32_RAH_RBH	FRACF32	{0}, {1}	R1H, R1H
I16TOF32_RAH_MEM16	I16TOF32	{0}, {1}	R1H, @0x1
I16TOF32_RAH_RBH	I16TOF32	{0}, {1}	R1H, R1H
I32TOF32_RAH_MEM32	I32TOF32	{0}, {1}	R1H, @0x1
I32TOF32_RAH_RBH	I32TOF32	{0}, {1}	R1H, R1H
IACK_CONST16	IACK	{0}	#0x0001
IDLE	IDLE		
IMPYAL_P_XT_LOC32	IMPYAL	P, XT, {0}	P, XT, @0x1
IMPYL_ACC_XT_LOC32	IMPYL	ACC, XT, {0}	ACC, XT, @0x1
IMPYL_P_XT_LOC32	IMPYL	P, XT, {0}	P, XT, @0x1
IMPYSL_P_XT_LOC32	IMPYSL	P, XT, {0}	P, XT, @0x1
IMPYXUL_P_XT_LOC32	IMPYXUL	P, XT, {0}	P, XT, @0x1
INC_LOC16	INC	{0}	@0x1
INTR	INTR	{0}	INT2
INTR_EMUINT	INTR	EMU	EMU
INTR_NMI	INTR	NMI	NMI
IN_LOC16_PA	IN	{0}, {1}	@0x1, *(0x0001)
IRET	IRET		
ITRAP1	ITRAP1		
LB	LB	{0}	0x000001
LB_XAR7	LB	*XAR7	*XAR7
LC	LC	{0}	0x000001
LCR	LCR	{0}	0x000001
LCR_XARN	LCR	{0}	*XAR1
LC_XAR7	LC	*XAR7	*XAR7
LOOPNZ_LOC16_CONST16	LOOPNZ	{0}, {1}	@0x1, #0x0001
LOOPZ_LOC16_CONST16	LOOPZ	{0}, {1}	@0x1, #0x0001
LPADDR	SETC	AMODE	AMODE
LRET	LRET		
LRETE	LRETE		
LRETR	LRETR		
LSL64_ACC_P_SHIFT	LSL64	ACC:P, {0:b}	ACC:P, 2
LSL64_ACC_P_T	LSL64	ACC:P, T	ACC:P, T
LSLL_ACC_T	LSLL	ACC, T	ACC, T
LSL_ACC_SHIFT	LSL	ACC, {0:b}	ACC, 2
LSL_ACC_T	LSL	ACC, T	ACC, T
LSL_AX_SHIFT	LSL	{0}, {1:b}	AL, 2
LSL_AX_T	LSL	{0}, T	AL, T
